ID,Restriction,,,
1,Nut Free,,,
1,Vegetarian,,,
1,Pescatarian,,,
2,Dairy Free,,,
3,,,,
4,Nut Free,,,
4,Vegetarian,,,
4,Egg Free,,,
5,Nutt Free,,,
5,Vegetarian,,,
5,Egg Free,,,
5,Pescatarian,,,
6,Vegetarian,,,
7,Vegetarian,,,
7,Vegan,,,
7,Pescatarian,,,
7,Egg Free,,,
8,Vegetarian,,,
9,Nut Free,,,
9,Egg Free,,,
10,Nut Free,,,
10,Vegetarian,,,
10,Pescatarian,,,
10,Egg Free,,,
11,Vegetarian,,,
11,Vegan,,,
11,Pescatarian,,,
11,Egg Free,,,
12,Vegetarian,,,
12,Vegan,,,
12,Pescatarian,,,
12,Egg Free,,,
13,Vegetarian,,,
13,Egg Free,,,
14,Pescatarian,,,
15,Vegetarian,,,
16,,,,
17,Pescatarian,,,
18,Vegetarian,,,
18,Vegan,,,
19,Nut Free,,,
19,Vegetarian,,,
19,Vegan,,,
20,Vegetarian,,,
20,Vegan,,,
21,Vegetarian,,,
21,Vegan,,,
22,Vegetarian,,,
22,Vegan,,,
22,Egg Free,,,
23,Vegetarian,,,
23,Vegan,,,
24,Vegetarian,,,
25,Vegetarian,,,
26,Vegetarian,,,
27,Vegetarian,,,
