Name,Quantity,Type,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
all purpose flour,1.5,cup,,,,
salt,0.75,tsp,,,,
baking soda,0.75,tsp,,,,
butter,0.75,cup,,,,
brown sugar,1.0,cup,,,,
sugar,0.25,cup,,,,
egg,1.0,item,,,,
egg yolk,2.0,item,,,,
vanilla,2.0,tsp,,,,
chocalate,6.0,oz,,,,
whole wheat flour,1.0,cup,,,,
baking powder,2.0,tsp,,,,
salt,0.25,tsp,,,,
egg,1.0,item,,,,
almond milk,1.0,cup,,,,
olive oil,2.0,tbsp,,,,
bananas,2.0,item,,,,
chocolate chips,,,,,,
cereal,2.0,cup,,,,
milk,1.5,cup,,,,
oil,,,,,,
green chili,,,,,,
jalapenos,,,,,,
red chili flakes,,,,,,
diced pepper,0.5,item,,,,
corn,1.0,bowl,,,,
chopped tomato,1.0,item,,,,
tomato paste,0.5,can,,,,
beans,1.0,can,,,,
paprika,1.0,tsp,,,,
italian seasoning ,1.5,tsp,,,,
brown sugar,1.0,tsp,,,,
fresh parsley,1.5,tbsp,,,,
salt,,,,,,
tomato,,,,,,
onion,,,,,,
cucumber,,,,,,
feta cheese,,,,,,
olive oil,,,,,,
oregano,,,,,,
chocalate bars,4.0,item,,,,
Oreos,30.0,item,,,,
heavy cream,5.0,,,,,
butter,2.0,,,,,
egg,7.0,item,,,,
basil ,6.0,cup,,,,
pine nuts,0.75,cup,,,,
garlic,3.0,clove,,,,
shredded Parmesan,3.0,oz,,,,
olive oil,0.75,cup,,,,
salt,1.0,pinch,,,,
pasta,1.0,box,,,,
vegetable oil,1.0,tbsp,,,,
medium onion,0.5,item,,,,
medium carrot ,1.0,item,,,,
green onion,1.0,cup,,,,
baby spinach,3.0,cup,,,,
soft vacuum-packed udon noodles,14.0,oz,,,,
Sambal Oelek,1.5,tsp,,,,
soy sauce,0.25,cup,,,,
rice wine vinegar,2.0,tsp,,,,
sesame oil,1.0,tsp,,,,
brown sugar,2.0,tbsp,,,,
garlic,2.0,clove,,,,
fresh ginger,1.0,tbsp,,,,
chicken breast,1.0,item,,,,
olive oil,0.5,cup,,,,
garlic powder,1.0,tsp,,,,
onion powder,1.0,tsp,,,,
salt,2.0,tsp,,,,
black pepper,3.0,tsp,,,,
dried elbow pasta,1.0,lb,,,,
unsalted butter,0.5,cup,,,,
all purpose flour,0.5,cup,,,,
whole milk,1.5,cup,,,,
half and half,2.5,cup,,,,
grated medium sharp cheddar cheese,4.0,cuo,,,,
grated Gruyere cheese,2.0,cuo,,,,
salt,0.5,tbsp,,,,
black pepper,0.5,tsp,,,,
paprika,0.25,tsp,,,,
roasted indigenous legume pate,2.0,tbsp,,,,
seasonal berry compote,2.0,tbsp,,,,
hearty sprouted wheat bread,2.0,slice,,,,
old fashioned oats,3.0,cup,,,,
sliced almonds,0.33,cup,,,,
chopped walnuts,0.33,cup,,,,
pure maple syrup,0.33,cup,,,,
vegetable oil,0.25,cup,,,,
ground cinnamon,1.0,tsp,,,,
vanilla,1.0,tsp,,,,
ground nutmeg,0.25,tsp,,,,
white bread,2.0,slice,,,,
peanut butter,1.0,tbsp,,,,
grape jelly,2.0,tsp,,,,
Israeli Couscous,1.75,cup,,,,
deveined and shelled shrimp,6.0,item,,,,
water,2.0,cup,,,,
garlic,2.0,clove,,,,
avocado butter,3.0,tbsp,,,,
artichoke lemon pesto,3.0,tbsp,,,,
chopped cilantro,5.0,tbsp,,,,
green onion,3.0,item,,,,
lime,0.5,item,,,,
olive oil,1.5,tbsp,,,,
red pepper flakes,1.0,tbsp,,,,
salt,2.0,tbsp,,,,
freshly cracked pepper,0.5,tbsp,,,,
cucumber,1.0,item,,,,
cream cheese,,,,,,
seasoning ,,,,,,
chick peas,,,,,,
corn tortillas,,,,,,
bell pepper,,,,,,
onion,,,,,,
garlic,,,,,,
lime,,,,,,
avocado butter,,,,,,
oil,,,,,,
seasoning ,,,,,,
cilantro,,,,,,
sour cream ,,,,,,
white fish,2.0,fillet,,,,
cherry tomatoes,1.0,clove,,,,
garlic,4.0,clove,,,,
minced parsley,0.25,item,,,,
lemon,2.0,cup,,,,
butter,0.33,slice,,,,
salt,,,,,,
pepper,,,,,,
fresh basil leaves,2.0,cup,,,,
garlic,2.0,clove,,,,
pistachio nits,0.25,cup,,,,
extra virgin olive oil,0.67,cup,,,,
kosher salt,,,,,,
freshly ground pepper,,,,,,
freshly grated Pecorino cheese,0.5,cup,,,,
sweet potato,1.0,item,,,,
olive oil,,,,,,
seasoning ,,,,,,
flour,1.0,cup,,,,
baking powder,2.0,tsp,,,,
cinnamon,2.0,tsp,,,,
salt,0.25,tsp,,,,
maple syrup,2.0,tbsp,,,,
vanilla,1.0,tsp,,,,
unsweetened applesauce,0.25,cup,,,,
dairy-free milk,1.0,cup,,,,
mango,1.0,item,,,,
diced frozen bananas,0.75,item,,,,
milk,0.25,cup,,,,
chia seeds,,,,,,
fresh fruit,,,,,,
grated coconut,,,,,,
chopped almond,,,,,,
granola,,,,,,
nut butter,,,,,,
chocolate chips,,,,,,
bananas,2.0,item,,,,
frozen mango,1.0,cup,,,,
frozen strawberries,1.0,cup,,,,
frozen blackberries,0.5,cup,,,,
froxen blueberries,0.5,cup,,,,
chopped apples,1.0,cup,,,,
chia seeds,2.0,tbsp,,,,
oat milk,2.0,cup,,,,
tanarind paste,1.0,tsp,,,,
soy cauce,0.17,cup,,,,
brown sugar,3.0,tbsp,,,,
Sambal chili sauce,0.5,item,,,,
lime juice,1.0,tbsp,,,,
rice vinegar,1.0,tsp,,,,
cubed extra firm tofu,1.0,cup,,,,
sesame oil,1.0,tbsp,,,,
soy sauce,0.5,tbsp,,,,
Pad Thai rice noodles,,,,,,
boiling water,,,,,,
sesame oil,1.0,tbsp,,,,
shredded carrots,,,,,,
bean sprouts,,,,,,
crushed peanuts,,,,,,
fresh lime,,,,,,
cilantro,,,,,,
almond flour,0.17,cup,,,,
old fashioned rolled oats,0.25,cup,,,,
cocunut sugar,0.17,cup,,,,
chopped pecans,0.25,cup,,,,
cocunut oil,0.13,cup,,,,
cinnamon,1.0,pinch,,,,
salt,1.0,pinch,,,,
red or granny smoth apples,4.0,item,,,,
maple syrup,0.17,cup,,,,
pure vanilla extracct,2.0,tsp,,,,
cinnamon,1.0,dash,,,,
nutmeg,1.0,dash,,,,
handvo flour,3.0,cup,,,,
oil,0.5,cup,,,,
yogurt,1.0,cup,,,,
haldi (tumeric) powder,2.0,tsp,,,,
dhana jeeru (cumin coriander) powder,2.0,tsp,,,,
pink himalayan salt,3.0,tsp,,,,
crushed ajmo,2.0,spoon,,,,
thinly chopped baby spinach ,1.0,lb,,,,
shredded cmall cabbage ,0.25,item,,,,
firm tofu,1.0,box,,,,
corn starch,2.0,tbsp,,,,
water,2.0,tbsp,,,,
olive oil,2.0,tbsp,,,,
fresh orange juice,1.0,cup,,,,
sugar,0.5,cup,,,,
vegetable broth,2.0,cup,,,,
apple cider vinegar,2.0,tbsp,,,,
chilli paste,4.0,tsp,,,,
soy sauce,4.0,tsp,,,,
ginger,0.25,tsp,,,,
salt,,,,,,
onion,1.0,item,,,,
garlic,4.0,clove,,,,
parmesan cheese,4.0,oz,,,,
extra vrigin olive oil,2.0,tbsp,,,,
tomato paste,4.5,oz,,,,
red pepper flakes,0.5,tsp,,,,
vodka,2.0,oz,,,,
heavy cream,0.75,cup,,,,
rigatoni pasta,1.0,lb,,,,
basil leaves,,,,,,
